y(м);P(Па)
0;100000
500;94220
1000;88730
1500;83500
2000;78520
2500;73790
3000;69300
3500;65030
4000;60970
4500;57130
5000;53490
5500;50040
6000;46770
6500;43680
7000;40760
7500;38000
8000;35390
8500;32930
9000;30620
9300;29290
9500;28430
10000;26380
10500;24460
11000;22670
11500;21000
12000;19450
13000;16680
14000;14300
15000;12270
16000;10520
17000;9030
18000;7740
19000;6640
20000;5700
21000;4890
22000;4190
23000;3600
24000;3090
25000;2650
26000;2270
27000;1950
28000;1670
29000;1440
30000;1240
31000;1060
32000;920
33000;790
34000;680
35000;590
36000;520
37000;450
38000;390
39000;340
40000;300
41000;260
42000;230
43000;200
44000;170
45000;150
46000;130
47000;120
47300;110
48000;100
49000;90
50000;80
