t, c; x, м; y, м; z, м; Vk, м/с; teta, град; psy, град; omega_x, рад/с; pi(y); 
0,000; 0,0000; 1,0000; 0,0000; 945,0000; 5,0000; 0,0000; 1562,5290; 1,0001; 
0,050; 47,0035; 5,1004; 0,0005; 942,2837; 4,9712; -0,0012; 1560,8534; 0,9996; 
0,100; 93,8740; 9,1653; 0,0020; 939,5777; 4,9422; -0,0025; 1559,1852; 0,9992; 
0,150; 140,6120; 13,1950; 0,0046; 936,8820; 4,9132; -0,0037; 1557,5243; 0,9987; 
0,200; 187,2180; 17,1894; 0,0081; 934,1965; 4,8841; -0,0050; 1555,8706; 0,9982; 
0,250; 233,6924; 21,1488; 0,0126; 931,5211; 4,8549; -0,0062; 1554,2240; 0,9977; 
0,300; 280,0357; 25,0731; 0,0182; 928,8558; 4,8256; -0,0075; 1552,5847; 0,9973; 
0,350; 326,2485; 28,9626; 0,0247; 926,2006; 4,7962; -0,0087; 1550,9524; 0,9968; 
0,400; 372,3312; 32,8173; 0,0322; 923,5554; 4,7667; -0,0100; 1549,3272; 0,9964; 
0,450; 418,2843; 36,6373; 0,0407; 920,9201; 4,7372; -0,0112; 1547,7090; 0,9959; 
0,500; 464,1083; 40,4228; 0,0502; 918,2948; 4,7075; -0,0125; 1546,0977; 0,9955; 
0,550; 509,8036; 44,1737; 0,0607; 915,6793; 4,6778; -0,0138; 1544,4933; 0,9950; 
0,600; 555,3708; 47,8903; 0,0722; 913,0736; 4,6479; -0,0150; 1542,8959; 0,9946; 
0,650; 600,8102; 51,5727; 0,0846; 910,4777; 4,6180; -0,0163; 1541,3052; 0,9941; 
0,700; 646,1224; 55,2208; 0,0980; 907,8916; 4,5880; -0,0176; 1539,7213; 0,9937; 
0,750; 691,3078; 58,8349; 0,1124; 905,3150; 4,5579; -0,0189; 1538,1441; 0,9933; 
0,800; 736,3669; 62,4151; 0,1277; 902,7482; 4,5277; -0,0202; 1536,5737; 0,9929; 
0,850; 781,3002; 65,9613; 0,1441; 900,1909; 4,4974; -0,0214; 1535,0099; 0,9925; 
0,900; 826,1081; 69,4739; 0,1613; 897,6431; 4,4670; -0,0227; 1533,4526; 0,9920; 
0,950; 870,7910; 72,9527; 0,1796; 895,1049; 4,4365; -0,0240; 1531,9020; 0,9916; 
1,000; 915,3495; 76,3980; 0,1988; 892,5761; 4,4060; -0,0253; 1530,3579; 0,9912; 
1,050; 959,7839; 79,8097; 0,2189; 890,0567; 4,3753; -0,0266; 1528,8202; 0,9908; 
1,100; 1004,0948; 83,1882; 0,2400; 887,5467; 4,3446; -0,0279; 1527,2890; 0,9904; 
1,150; 1048,2826; 86,5333; 0,2620; 885,0460; 4,3137; -0,0292; 1525,7642; 0,9900; 
1,200; 1092,3477; 89,8453; 0,2850; 882,5546; 4,2828; -0,0305; 1524,2457; 0,9896; 
1,250; 1136,2905; 93,1242; 0,3089; 880,0724; 4,2517; -0,0319; 1522,7335; 0,9893; 
1,300; 1180,1116; 96,3701; 0,3338; 877,5994; 4,2206; -0,0332; 1521,2276; 0,9889; 
1,350; 1223,8113; 99,5831; 0,3596; 875,1356; 4,1894; -0,0345; 1519,7280; 0,9885; 
1,400; 1267,3900; 102,7633; 0,3863; 872,6808; 4,1581; -0,0358; 1518,2345; 0,9881; 
1,450; 1310,8484; 105,9108; 0,4140; 870,2352; 4,1267; -0,0371; 1516,7472; 0,9878; 
1,500; 1354,1866; 109,0257; 0,4426; 867,7985; 4,0952; -0,0385; 1515,2660; 0,9874; 
1,550; 1397,4053; 112,1081; 0,4721; 865,3709; 4,0636; -0,0398; 1513,7909; 0,9870; 
1,600; 1440,5048; 115,1581; 0,5025; 862,9522; 4,0319; -0,0411; 1512,3219; 0,9867; 
1,650; 1483,4855; 118,1757; 0,5339; 860,5424; 4,0001; -0,0425; 1510,8588; 0,9863; 
1,700; 1526,3479; 121,1612; 0,5661; 858,1415; 3,9683; -0,0438; 1509,4017; 0,9860; 
1,750; 1569,0925; 124,1144; 0,5993; 855,7495; 3,9363; -0,0451; 1507,9505; 0,9856; 
1,800; 1611,7195; 127,0357; 0,6334; 853,3662; 3,9042; -0,0465; 1506,5052; 0,9853; 
1,850; 1654,2295; 129,9249; 0,6684; 850,9916; 3,8721; -0,0478; 1505,0658; 0,9849; 
1,900; 1696,6228; 132,7823; 0,7043; 848,6258; 3,8398; -0,0492; 1503,6322; 0,9846; 
1,950; 1738,8999; 135,6080; 0,7411; 846,2687; 3,8075; -0,0505; 1502,2044; 0,9843; 
2,000; 1781,0612; 138,4019; 0,7788; 843,9202; 3,7750; -0,0519; 1500,7823; 0,9840; 
2,050; 1823,1071; 141,1643; 0,8174; 841,5802; 3,7425; -0,0533; 1499,3659; 0,9836; 
2,100; 1865,0380; 143,8951; 0,8569; 839,2489; 3,7098; -0,0546; 1497,9552; 0,9833; 
2,150; 1906,8543; 146,5945; 0,8972; 836,9261; 3,6771; -0,0560; 1496,5501; 0,9830; 
2,200; 1948,5565; 149,2626; 0,9385; 834,6117; 3,6443; -0,0574; 1495,1506; 0,9827; 
2,250; 1990,1449; 151,8995; 0,9807; 832,3059; 3,6113; -0,0588; 1493,7567; 0,9824; 
2,300; 2031,6199; 154,5052; 1,0237; 830,0084; 3,5783; -0,0601; 1492,3684; 0,9821; 
2,350; 2072,9820; 157,0798; 1,0676; 827,7193; 3,5452; -0,0615; 1490,9855; 0,9818; 
2,400; 2114,2315; 159,6235; 1,1124; 825,4385; 3,5120; -0,0629; 1489,6081; 0,9815; 
2,450; 2155,3689; 162,1363; 1,1581; 823,1661; 3,4787; -0,0643; 1488,2362; 0,9812; 
2,500; 2196,3945; 164,6183; 1,2046; 820,9019; 3,4453; -0,0657; 1486,8696; 0,9809; 
2,550; 2237,3087; 167,0695; 1,2520; 818,6460; 3,4118; -0,0671; 1485,5085; 0,9806; 
2,600; 2278,1119; 169,4901; 1,3003; 816,3983; 3,3782; -0,0685; 1484,1526; 0,9803; 
2,650; 2318,8046; 171,8802; 1,3494; 814,1587; 3,3445; -0,0699; 1482,8021; 0,9801; 
