  t, c   	 X0[0]  	 X0[1]  	 X0[2]  	 X0[3]  	 X0[4]  	 X0[5]  	 X0[6]  	 X0[7]  	 X0[8]  	 X0[9]  	 X0[10]  	 X0[11]  	 V[0]   	 V[1]   	 V[2]   	 Om[0]  	 Om[1]  	 Om[2]  	 Vc[0]  	 Vc[1]  	 Vc[2]  	 Amp[0][0] 	 Amp[0][1] 	 Amp[0][2] 	 Amp[1][0] 	 Amp[1][1] 	 Amp[1][2] 	 Amp[2][0] 	 Amp[2][1] 	 Amp[2][2] 	 Amp[3][0] 	 Amp[3][1] 	 Amp[3][2] 	 Amp[4][0] 	 Amp[4][1] 	 Amp[4][2] 	 Amp[5][0] 	 Amp[5][1] 	 Amp[5][2] 	teta,град	psi, град	fi, град 
0,000000	-0,350000	297,600000	0,000000	1,000000	0,000000	0,000000	0,000000	1,000000	0,000000	0,000000	0,000000	1,000000	27,777778	0,000000	0,000000	0,000000	0,000000	0,000000	27,777778	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000	0,000000
0,005000	-0,211111	297,600000	0,000000	1,000000	0,000000	0,000000	0,000000	1,000000	0,000000	0,000000	0,000000	1,000000	27,778054	0,000276	0,000276	0,000001	0,000000	-0,000001	27,778003	0,000225	0,000225	0,000274	0,000279	0,000275	0,000274	0,000278	0,000275	0,000275	0,000277	0,000275	0,000276	0,000273	0,000275	0,000276	0,000273	0,000275	0,000276	0,000272	0,000275	0,000000	0,000000	0,000000
0,010000	-0,072219	297,600003	0,000003	1,000000	0,000000	0,000000	0,000000	1,000000	0,000000	0,000000	0,000000	1,000000	27,778765	0,000988	0,000987	0,000003	0,000001	-0,000004	27,778681	0,000903	0,000903	0,000982	0,000997	0,000984	0,000982	0,000995	0,000984	0,000983	0,000993	0,000984	0,000986	0,000979	0,000984	0,000986	0,000977	0,000984	0,000987	0,000975	0,000984	-0,000001	0,000000	0,000001
0,015000	0,066677	297,600011	0,000011	1,000000	0,000000	0,000000	0,000000	1,000000	0,000000	0,000000	0,000000	1,000000	27,779734	0,001957	0,001956	0,000006	0,000001	-0,000007	27,779633	0,001855	0,001855	0,001945	0,001974	0,001950	0,001946	0,001970	0,001950	0,001947	0,001966	0,001950	0,001952	0,001940	0,001950	0,001953	0,001936	0,001950	0,001954	0,001932	0,001950	-0,000002	0,000000	0,000002
0,020000	0,205578	297,600023	0,000023	1,000000	0,000000	0,000000	0,000000	1,000000	0,000000	0,000000	0,000000	1,000000	27,780646	0,002870	0,002868	0,000008	0,000002	-0,000011	27,780565	0,002787	0,002787	0,002853	0,002893	0,002860	0,002854	0,002888	0,002860	0,002855	0,002882	0,002860	0,002862	0,002846	0,002860	0,002863	0,002841	0,002860	0,002864	0,002836	0,002860	-0,000005	0,000001	0,000004
0,025000	0,344483	297,600039	0,000039	1,000000	0,000000	0,000000	0,000000	1,000000	0,000000	0,000000	0,000000	1,000000	27,781288	0,003515	0,003511	0,000009	0,000002	-0,000014	27,781240	0,003462	0,003462	0,003493	0,003538	0,003502	0,003494	0,003532	0,003502	0,003495	0,003527	0,003502	0,003501	0,003487	0,003502	0,003502	0,003481	0,003502	0,003503	0,003476	0,003502	-0,000009	0,000001	0,000007
0,030000	0,483391	297,600057	0,000057	1,000000	0,000000	0,000000	0,000000	1,000000	0,000000	0,000000	0,000000	1,000000	27,781486	0,003715	0,003709	0,000008	0,000001	-0,000016	27,781487	0,003709	0,003709	0,003692	0,003732	0,003702	0,003692	0,003728	0,003702	0,003693	0,003723	0,003702	0,003696	0,003689	0,003702	0,003697	0,003684	0,003702	0,003697	0,003680	0,003702	-0,000013	0,000002	0,000009
0,035000	0,622298	297,600075	0,000075	1,000000	0,000000	0,000000	0,000000	1,000000	0,000000	0,000000	0,000000	1,000000	27,781294	0,003525	0,003517	0,000004	-0,000001	-0,000017	27,781326	0,003548	0,003548	0,003504	0,003530	0,003513	0,003503	0,003528	0,003513	0,003503	0,003525	0,003513	0,003500	0,003506	0,003513	0,003500	0,003503	0,003513	0,003500	0,003501	0,003513	-0,000018	0,000002	0,000011
0,040000	0,761203	297,600092	0,000092	1,000000	0,000000	0,000000	0,000000	1,000000	0,000000	0,000000	0,000000	1,000000	27,780841	0,003074	0,003064	0,000000	-0,000002	-0,000016	27,780891	0,003114	0,003114	0,003057	0,003064	0,003065	0,003055	0,003064	0,003065	0,003054	0,003064	0,003065	0,003044	0,003066	0,003065	0,003043	0,003066	0,003065	0,003041	0,003066	0,003065	-0,000022	0,000001	0,000011
0,045000	0,900106	297,600106	0,000106	1,000000	0,000000	0,000000	0,000000	1,000000	0,000000	0,000000	0,000000	1,000000	27,780424	0,002659	0,002646	-0,000005	-0,000004	-0,000016	27,780456	0,002678	0,002678	0,002646	0,002632	0,002653	0,002643	0,002635	0,002653	0,002641	0,002639	0,002653	0,002623	0,002661	0,002653	0,002620	0,002665	0,002653	0,002618	0,002668	0,002653	-0,000027	0,000000	0,000010
